Key,en,es,ar,fr
expiry Date,Expiry Date,Fecha de caducidad,تاريخ الانتهاء,Date d'expiration
cvc,CVC,CVC,CVC,CVC
nine Elevent,09-Nov,09-noviembre,09-NOV,09-nov
nine Six,963,963,963,963
buy Now,Buy Now,Comprar ahora,اشتري الآن,Acheter maintenant
agency Fb,9864 1326 7135 3126,9864 1326 7135 3126,9864 1326 7135 3126,9864 1326 7135 3126
fund,Fund,Fondo,تمويل,Fonds
card Load Type,Card Load Type,Tipo de carga de tarjeta,نوع تحميل البطاقة,Type de chargement de carte
inssuance Fee,Inssuance Fee,Tarifa de insuficiencia,رسوم insuance,Frais d'inssuance
select Bill Category,Select Bill Category,Seleccionar categoría de factura,حدد فئة الفاتورة,Sélectionnez la catégorie des factures
enter Bill Number,Enter Bill Number,Ingrese el número de factura,أدخل رقم الفاتورة,Entrez le numéro de facture
bill Type,Bill Type,Tipo de factura,نوع الفاتورة,Type de facture
account Number,Account Number,Número de cuenta,رقم حساب,Numéro de compte
enter Account Number,Enter Account Number,Ingrese el número de cuenta,أدخل رقم الحساب,Entrez le numéro de compte
bank Name,Bank Name,Nombre del banco,اسم البنك,Nom de banque
enter Bank Name,Enter Bank Name,Ingrese el nombre del banco,أدخل الاسم المصرفي,Entrez le nom de la banque
pay Bill,Pay Bill,Pagar la factura,فاتورة الأجرة,Masse salariale
payment Success,Payment Success,pago exitoso,الدفع الناجح,Succès du paiement
electicity,Electicity,Electicidad,الانتخابات,Électricité
charge,Charge,Cargar,تكلفة,Charge
received Amount,Received Amount,Cantidad recibida,المبلغ الذي تسلمه,Montant reçu
b N135678951,B/N135678951,B/N135678951,B/N135678951,N135678951
your Bill Has Been Paid,Your bill has been paid Successfully. Thanks for using QRPAY,Su factura ha sido pagada con éxito. Gracias por usar Qrpay,تم دفع فاتورتك بنجاح. شكرا لاستخدام QRPay,Votre facture a été payée avec succès. Merci d'utiliser QRPAY
load Fee,Load Fee,Tarifa de carga,رسوم التحميل,Frais de chargement
min Load,Min Load,Carga mínima,حمولة دقيقة,Charge min
max Load,Max Load,Carga maxima,حمولة كحد أقصى,Charge maximale
validity,Validity,Validez,صلاحية,Validité
monthly Fees,Monthly Fees,Cargos mensuales,الرسوم الشهرية,Frais mensuels
enter Mobile Number,Enter Mobile Number,Ingrese el número de móvil,أدخل رقم الهاتف المحمول,Entrez le numéro de mobile
mobile Top Up Type,Mobile Top Up Type,Tipo de recarga móvil,نوع الجوال إلى نوع UP,Type de recharge mobile
select Mobile Category,Select Mobile Category,Seleccionar categoría móvil,حدد فئة الهاتف المحمول,Sélectionnez la catégorie mobile
a Tt Mobility,AT&T Mobility,Movilidad de AT&T,AT&T التنقل,Mobilité AT&T
plus1611,+1 611 2357 896,+1 611 2357 896,+1 611 2357 896,+1 611 2357 896
top Up Now,Top Up Now,Recargar ahora,تسبق الآن,Remplacer maintenant
mobile Top Up Success,Mobile Top Up Success,El éxito de recarga móvil,يعتمد الهاتف المحمول على النجاح,Succès de montée mobile
your Mobile Top Up,Your mobile top up has been Successfull. Thanks for using QRPAY,Su recarga móvil ha sido exitosa. Gracias por usar Qrpay,لقد كان قمة الهاتف المحمول ناجحًا. شكرا لاستخدام QRPay,Votre recharge mobile a été réussie. Merci d'utiliser QRPAY
google Play,Google Play,Google Play,تطبيقات جوجل,jeu de Google
google Play Gift Card,Google Play Gift Card,Tarjeta de regalo de Google Play,بطاقة هدية Google Play,Carte-cadeau Google Play
category,Category,Categoría,فئة,Catégorie
five,5,5,5,5
cardsfive,5 Cards,5 cartas,5 بطاقات,5 cartes
available,Available,Disponible,متاح,Disponible
cards,/cards,/cartas,/البطاقات,/cartes
price Card,Price/card,Precio/tarjeta,السعر/البطاقة,Prix ​​/ carte
more Info,More Info,Más información,مزيد من المعلومات,Plus d'informations
price,Price,Precio,سعر,Prix
pricebycard,Price/card,Precio/tarjeta,السعر/البطاقة,Prix ​​/ carte
card Details,Card Details,Detalles de tarjeta,معلومات البطاقة,Détails de la carte
quantity,Quantity,Cantidad,كمية,Quantité
giftcard Purchase,Giftcard Purchase,Compra de tarjetas de regalo,شراء بطاقة الهدايا,Achat de cartes-cadeaux
u SDzero,0.00 USD,0.00 USD,0.00 دولار أمريكي,"0,00 USD"
sub Category,Sub Category,Subcategoría,تصنيف فرعي,Sous-catégorie
your Giff Card,Your Giftcard has been purchase Successfully. Thanks for using QRPAY,Su tarjeta de regalo ha sido compra con éxito. Gracias por usar Qrpay,تم شراء بطاقة الهدايا الخاصة بك بنجاح. شكرا لاستخدام QRPay,Votre carte-cadeau a été achetée avec succès. Merci d'utiliser QRPAY
profile,Profile,Perfil,حساب تعريفي,Profil
my Wallet,My Wallet,Mi billetera,محفظتى,Mon portefeuille
my Virtual Cards,My Virtual Cards,Mis tarjetas virtuales,بطاقاتي الافتراضية,Mes cartes virtuelles
update Profile,Update Profile,Actualización del perfil,تحديث الملف,Mettre à jour le profil
update KYCForm,Update KYC Form,Actualizar el formulario KYC,تحديث نموذج KYC,Mettre à jour le formulaire KYC
f A2Security,2FA Security,2FA SEGURIDAD,2FA الأمن,Sécurité 2FA
nine Eight,9864  5689  4623  1475,9864 5689 4623 1475,9864 5689 4623 1475,9864 5689 4623 1475
plus Buy New Card,+ Buy New Card,+ Compra una nueva tarjeta,+ شراء بطاقة جديدة,+ Acheter une nouvelle carte
enter Amount,Enter Amount,Ingresar la cantidad,أدخل المبلغ,Entrer le montant
add Fund,Add Fund,Agregar fondo,إضافة الصندوق,Ajouter un fonds
buy Card,Buy Card,Comprar tarjeta,شراء البطاقة,Carte d'achat
add Fund Succes,Add Fund Success,Agregar éxito de fondo,إضافة نجاح الصندوق,Ajouter le succès du fonds
your Money Added Succes,Your money has been deposit Successfully. Thanks for using QRPAY,Su dinero se ha depositado con éxito. Gracias por usar Qrpay,لقد تم إيداع أموالك بنجاح. شكرا لاستخدام QRPay,Votre argent a été déposé avec succès. Merci d'utiliser QRPAY
upload Passport Nid Dri,Upload Passport / NID / Driving Lic. etc doc for verification,Subir pasaporte / nid / conducir lic. etc doc para verificación,تحميل جواز السفر / NID / قيادة LIC. ETC DOC للتحقق,Téléchargez Passport / NID / Driving LIC. etc doc pour la vérification
update KYC,Update KYC,Actualizar KYC,تحديث KYC,Mettre à jour KYC
enable2FASecurity,Enable 2FA Security,Habilitar la seguridad de 2FA,تمكين 2FA الأمن,Activer la sécurité 2FA
two FADetails,We’ll ask for a verification code via your security method if we notice a login from an unrecogn-ized device or browser. Enable your 2FA Security,Pediremos un código de verificación a través de su método de seguridad si notamos un inicio de sesión de un dispositivo o navegador no recogido. Habilite su seguridad de 2FA,سنطلب رمز التحقق عبر طريقة الأمان الخاصة بك إذا لاحظنا تسجيل دخول من جهاز أو متصفح غير كوني. تمكين أمان 2FA الخاص بك,Nous demanderons un code de vérification via votre méthode de sécurité si nous remarquons une connexion à partir d'un appareil ou d'un navigateur non reconnu. Activez votre sécurité 2FA
send Verification Code,Send Verification Code,Envíe el código de verificación,إرسال رمز التحقق,Envoyer le code de vérification
your Two Security HAs Been Active,Your 2FA Security has been activate Successfully.,Su seguridad de 2FA se ha activado con éxito.,تم تنشيط أمان 2FA الخاص بك بنجاح.,Votre sécurité 2FA a été activée avec succès.
transactions Log,Transactions Log,Registro de transacciones,سجل المعاملات,Journal des transactions
transaction Log,Transaction Logs,Registros de transacciones,سجلات المعاملات,Journaux de transaction
virtual Card Log,Virtual Card Log,Registro de tarjeta virtual,سجل البطاقة الافتراضية,Journal des cartes virtuelles
help Center,Help Center,Centro de ayuda,مركز المساعدة,Centre d'aide
privacy Policy,Privacy & Policy,Política de privacidad,سياسة الخصوصية,Politique de confidentialité
about Us,About Us,Sobre nosotros,معلومات عنا,À propos de nous
colnel Arichart,Colnel Arichart,Colnel Arichart,كولنيل أريشارت,Colnel Arichart
colnel Gmail,Colnelarichart@gmail.com,Colnellarichart@gmail.com,colnelarichart@gmail.com,Colnelarichart@gmail.com
sign Out,Sign Out,Desconectar,خروج,Se déconnecter
saved Receipients,Saved Receipients,Receptores guardados,المحفوظات المحفوظة,Repensateurs sauvés
giftcard Log,Giftcard Log,Registro de tarjetas de regalo,سجل بطاقة الهدايا,Bûche de cartes-cadeaux
bill Payment Log,Bill Payment Log,Registro de pago de la factura,سجل دفع الفواتير,Journal de paiement des factures
mobile Top Up Log,Mobile Top Up Log,Registro de recarga móvil,قم بتصنيف السجل المحمول,Journal de recharge mobile
redeem Card,Redeem Card,Tarjeta de redimir,استرداد بطاقة,Échanger une carte
t Mobile US,T-Mobile US,T-Mobile nosotros,T-Mobile لنا,T-Mobile Us
verizon,Verizon,Verizon,فيريزون,Verizon
education,Education,Educación,تعليم,Éducation
gass Bill,Gass Bill,Billete de gas,فاتورة الجاس,Billet de gaz
internet,Internet,Internet,إنترنت,l'Internet
telephone,Telephone,Teléfono,هاتف,Téléphone
tr X9VW3SWKA9Y,TRX-6J9VW3SWKA9Y,TRX-6J9VW3SWKA9Y,TRX-6J9VW3SWKA9Y,Trx-6j9vw3swka9y
trx Net99,TRX-Netflix 99,TRX-NETFLIX 99,TRX-NETFLIX 99,Trx-netflix 99
agreed,Please agree with term and condition,"Por favor, de acuerdo con el término y la condición",يرجى الاتفاق مع المصطلح والشرط,Veuillez être d'accord avec le terme et l'état
delete Account,Delete Account,Borrar cuenta,حذف الحساب,Supprimer le compte
old Password,Old Password,Contraseña anterior,كلمة المرور القديمة,ancien mot de passe
enter Old Password,Enter Old Password,Ingrese la contraseña antigua,أدخل كلمة المرور القديمة,Entrez l'ancien mot de passe
paypal Payment,Paypal Payment,Pago PayPal,الدفع باي بال,Paiement PayPal
flutterwave Payment,Flutterwave Payment,Pago de FlutterWave,مدفوعات الرفرفة,Paiement Flutterwave
razor Pay Payment,Razorpay Payment,Pago de Razorpay,دفعة Razorpay,Paiement Razorpay
pagadito Payment,Pagadito Payment,Pago de pagadito,دفع باغاديتو,Paiement pagadito
we Ask For Verification,We’ll ask for a verification code via your security method if we notice a login from an unrecogn-ized device or browser. Enable your 2FA Security,Pediremos un código de verificación a través de su método de seguridad si notamos un inicio de sesión de un dispositivo o navegador no recogido. Habilite su seguridad de 2FA,سنطلب رمز التحقق عبر طريقة الأمان الخاصة بك إذا لاحظنا تسجيل دخول من جهاز أو متصفح غير كوني. تمكين أمان 2FA الخاص بك,Nous demanderons un code de vérification via votre méthode de sécurité si nous remarquons une connexion à partir d'un appareil ou d'un navigateur non reconnu. Activez votre sécurité 2FA
credit Card Sample Text,"Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old.'","Contrariamente a la creencia popular, Lorem Ipsum no es simplemente un texto aleatorio. Tiene raíces en una pieza de literatura latina clásica de 45 a. C., lo que lo convierte en más de 2000 años.",على عكس الاعتقاد الشائع ، فإن Lorem ipsum ليس مجرد نص عشوائي. لديها جذور في قطعة من الأدب اللاتيني الكلاسيكي من 45 قبل الميلاد ، مما يجعله أكثر من 2000 عام.,"Contrairement à la croyance populaire, Lorem Ipsum n'est pas simplement un texte aléatoire. Il a des racines dans un morceau de littérature latine classique de 45 avant JC, ce qui en fait plus de 2000 ans."
card Holder,Card Holder,Titular de la tarjeta,حامل البطاقة,Titulaire de la carte
valid Thru,VALID THRU,Válido,صالح من خلال,VALIDE JUSQU'AU
pay Now,Card Number,Número de tarjeta,رقم البطاقة,Numéro de carte
reloadable,Reloadable,Recargable,قابل لإعادة التحميل,Rechargable
not Reloadable,Not Reloadable,No recargable,لا يمكن إعادة التحميل,Pas rechargable
account Id,Account Id,ID de la cuenta,معرف الحساب,Identifiant de compte
card Pan,Card Pan,Bandeja,بطاقة عموم,Bac à cartes
expiration,Expiration,Vencimiento,انتهاء الصلاحية,Expiration
city,City,Ciudad,مدينة,Ville
state,State,Estado,ولاية,État
enter State,Enter State,Ingrese el estado,إدخال الدولة,Entrer l'état
address,Address,DIRECCIÓN,عنوان,Adresse
enter Address,Enter Address,Ingresa la direccion,أدخل العنوان,Entrer l'adresse
zip,Zip Code,Código postal,الرمز البريدي,Code postal
block,Block,Bloquear,حاجز,Bloc
unblock,Unblock,Desatascar,رفع الحظر,Débloquer
de Activated,Send Money,Enviar dinero,إرسال الأموال,Envoyer de l'argent
not Valid User,Not Valid User,Usuario no válido,ليس مستخدمًا صالحًا,Utilisateur non valide
pick Up Point,Pick Up Point,Punto de recogida,التقاط نقطة,Point de ramassage
create Card,Create Card,Crear tarjeta,إنشاء بطاقة,Créer une carte
empty Status,No data found,Datos no encontrados,لاتوجد بيانات,Aucune donnée disponible
sign In With Touch Id,Sign in with touch id,Iniciar sesión con Touch ID,تسجيل الدخول مع معرف اللمس,Connectez-vous avec Touch ID
delete Account Sub Title,Do you want to delete your account?,¿Quieres eliminar tu cuenta?,هل تريد حذف حسابك؟,Voulez-vous supprimer votre compte?
verify OTP,Verify OTP,Verificar OTP,تحقق من OTP,Vérifiez OTP
fees And Charges,Fees & Charges,Tarifas y cargos,الرسوم والرسوم,Frais et frais
received,Received,Recibió,تلقى,Reçu
total Fee,Total Fee,Costo total,مجموع الرسوم,Montant total
log Message,Do You Want To Sign Out?,¿Quieres firmar?,هل تريد تسجيل الخروج؟,Voulez-vous vous déconnecter?
make Default,Make Default,Hacer por defecto,جعل الافتراضي,Faire défaut
remove Default,Remove Default,Eliminar predeterminado,إزالة الافتراضي,Supprimer par défaut
add Money Log,Add Money Log,Agregar registro de dinero,أضف سجل الأموال,Ajouter un journal d'argent
withdraw Log,Withdraw Money Log,Retirar el registro de dinero,سحب سجل الأموال,Retirer le journal de l'argent
transfer Money Log,Remittance Log,Registro de remesas,سجل التحويلات,Journal de versement
merchant Payment Log,Make Payment Log,Hacer registro de pago,قم بعمل سجل الدفع,Faire du journal de paiement
add Sub Balance Log,Add Sub balance Log,Agregar registro de balance de subsidios,أضف سجل الرصيد الفرعي,Ajouter le journal des sous-bilans
transaction Id,Tnx,TNX,TNX,Tnx
total Received,Total Received,Total recibido,إجمالي استلامه,Total reçu
remark,Remark,Observación,ملاحظة,Remarque
time And Date,Time and Date,Hora y fecha,الوقت و التاريخ,Heure et date
recipient Amount,Recipient Amount,Cantidad del receptor,مبلغ المتلقي,Montant du destinataire
request Amount,Request Amount,Cantidad de la solicitud,طلب المبلغ,Demander le montant
fee And Charge,Fee & Charge,Tarifa y cargo,تهمة رسوم,Frais et frais
top Up Type,Top Up Type,Tipo de recarga,أعلى النوع,Type d'allumage
card Amount,Card Amount,Monto de la tarjeta,مبلغ البطاقة,Montant de la carte
card Masked,card Masked,Tarjeta enmascarada,بطاقة ملثمة,carte masquée
recipient Name,Recipient Name,Nombre del Recipiente,اسم المستلم,Nom du destinataire
Change Language,Change Language,Cambiar idioma,تغيير اللغة,Changer de langue
unsupported Country,Unsupported region / Permission Denied,Región / permiso no respaldado denegado,تم رفض المنطقة / الإذن غير المدعوم,Région non prise en charge / autorisation refusée
already Have An Account,Already Have An Account?,¿Ya tienes una cuenta?,هل لديك حساب؟,Vous avez déjà un compte?
enter The OTP Code Send To,Enter The OTP Code Sent to,Ingrese el código OTP enviado a,أدخل رمز OTP المرسلة إلى,Entrez le code OTP envoyé à
enter The Google Auth OTP Code,Enter OTP Code From Google Authenticator,Ingrese el código OTP desde Google Authenticator,أدخل رمز OTP من Google Authenticator,Entrez le code OTP de Google Authenticator
OTP Verification,OTP Verification,Verificación OTP,التحقق من OTP,Vérification OTP
the Code Is Not Valid,The code is not valid,El código no es válido,الرمز غير صالح,Le code n'est pas valide
continue Label,Continue,Continuar,يكمل,Continuer
kYC Form Details,Please input all the fild for sign in to your account to get access to your dashboard.,Ingrese todo el Fild para iniciar sesión en su cuenta para obtener acceso a su tablero.,يرجى إدخال جميع fild لتسجيل الدخول إلى حسابك للوصول إلى لوحة القيادة الخاصة بك.,Veuillez saisir toute la diffusion pour vous connecter à votre compte pour avoir accès à votre tableau de bord.
enter Business Name,Enter Business Name,Ingrese el nombre del negocio,أدخل اسم العمل,Entrez le nom de l'entreprise
business Name,Business Name,Nombre del Negocio,الاسم التجاري,Nom d'entreprise
sender,Sender,Remitente,مرسل,Expéditeur
welcome Back To,Welcome Back to,Bienvenido de nuevo a,مرحبًا بك في,Bon retour à
send Money Successfully,Your money has been send successfully. Thanks for using QRPAY Merchant,Su dinero ha sido enviado con éxito. Gracias por usar el comerciante Qrpay,تم إرسال أموالك بنجاح. شكرا لاستخدام تاجر QRPAY,Votre argent a été envoyé avec succès. Merci d'avoir utilisé QRPAY MERCHER
gateway Balance,Gateway Balance,Equilibrio de puerta de enlace,توازن البوابة,Balance de la passerelle
received Balance,Received Balance,Saldo recibido,تلقي التوازن,Balance reçue
your Money Withdraw Success,Your money has been withdraw Successfully. Thanks for using QRPAY Merchant,Su dinero se ha retirado con éxito. Gracias por usar el comerciante Qrpay,لقد تم سحب أموالك بنجاح. شكرا لاستخدام تاجر QRPAY,Votre argent a été retiré avec succès. Merci d'avoir utilisé QRPAY MERCHER
back To Home,Back to Home,De vuelta a casa,العودة إلى المنزل,De retour à la maison
your Money Has Been Failed,Your money has been Failed..!! Try Again! Thanks for using QRPAY Merchant,Tu dinero ha sido fallado .. !! ¡Intentar otra vez! Gracias por usar el comerciante Qrpay,لقد فشل أموالك .. !! حاول ثانية! شكرا لاستخدام تاجر QRPAY,Votre argent a échoué .. !! Essayer à nouveau! Merci d'avoir utilisé QRPAY MERCHER
electricity,Electricity,Electricidad,كهرباء,Électricité
update KYC Form,Update KYC Form,Actualizar el formulario KYC,تحديث نموذج KYC,Mettre à jour le formulaire KYC
fA Security,2FA Security,2FA SEGURIDAD,2FA الأمن,Sécurité 2FA
enable fA Security,Enable 2FA Security,Habilitar la seguridad de 2FA,تمكين 2FA الأمن,Activer la sécurité 2FA
two Fa Security,2FA Security,2FA SEGURIDAD,2FA الأمن,Sécurité 2FA
two FA Details,We’ll ask for a verification code via your security method if we notice a login from an unrecogn-ized device or browser. Enable your 2FA Security,Pediremos un código de verificación a través de su método de seguridad si notamos un inicio de sesión de un dispositivo o navegador no recogido. Habilite su seguridad de 2FA,سنطلب رمز التحقق عبر طريقة الأمان الخاصة بك إذا لاحظنا تسجيل دخول من جهاز أو متصفح غير كوني. تمكين أمان 2FA الخاص بك,Nous demanderons un code de vérification via votre méthode de sécurité si nous remarquons une connexion à partir d'un appareil ou d'un navigateur non reconnu. Activez votre sécurité 2FA
your Two Security HA s Been Active,Your 2FA Security has been activate Successfully.,Su seguridad de 2FA se ha activado con éxito.,تم تنشيط أمان 2FA الخاص بك بنجاح.,Votre sécurité 2FA a été activée avec succès.
flutter Wave Payment,Flutterwave Payment,Pago de FlutterWave,مدفوعات الرفرفة,Paiement Flutterwave
card Number,Card Number,Número de tarjeta,رقم البطاقة,Numéro de carte
total Withdraw Amount,Total Withdraw Amount,Monto total de retiro,إجمالي مبلغ السحب,Montant total de retrait
api Key,APIKey,Clave API,مفتاح API,Clé API
primary Key,PrimaryKey,Clave primaria,المفتاح الأساسي,Clé primaire
secret Key,Secret Key,Llave secreta,المفتاح السري,Clef secrète
production Live,Go To Production Mode,Ir al modo de producción,انتقل إلى وضع الإنتاج,Passez en mode de production
production Sand Box,Go To SandBox Mode,Ir al modo Sandbox,انتقل إلى وضع Sandbox,Passez en mode sandbox
developer API,Developer API,API de desarrollador,مطور API,API développeur
sand Box,SandBox,Salvadera,صندوق الرمل,Bac à sable
mode On,Mode On,Modo,الوضع على,Mode
mode Off,Mode Off,Modo apagado,وضع قبالة,Mode désactivé
gateway Settings,Gateway Settings,Configuración de puerta de enlace,إعدادات البوابة,Paramètres de passerelle
all Settings,All Settings,Todos los ajustes,جميع الإعدادات,Tous les paramètres
wallet Balance,Wallet Balance,Equilibrio de billetera,توازن المحفظة,Équilibre du portefeuille
master Or Visa Card,Master / OR Visa Card,Maestro / o tarjeta de visa,بطاقة الماجستير / أو التأشيرة,Carte maître / ou visa
enable Or Disable This Features,Enable Or Disable This Features,Habilitar o deshabilitar estas características,تمكين أو تعطيل هذه الميزات,Activer ou désactiver ces fonctionnalités
production Mode Info,Do You want to change your api key?,¿Quieres cambiar tu clave API?,هل تريد تغيير مفتاح API الخاص بك؟,Voulez-vous changer votre clé API?
copied To Clip Board,Copied to clipboard,Copiado al portapapeles,نسخ إلى الحافظة,Copié dans le presse-papier
received Payment Log,Received Payment Log,Registro de pago recibido,تلقي سجل الدفع,Journal de paiement reçu
type,Type,Tipo,يكتب,Taper
payment Amount,Payment Amount,Monto del pago,مبلغ الدفع,Montant du paiement
changeThemes,Change Themes,Cambiar temas,تغيير الموضوعات,Changer les thèmes
stripePayment,Stripe Payment,Pago de rayas,دفع الشريط,Paiement
Create Link,Create Link,Crear enlace,إنشاء رابط,Créer un lien
Created At,Created At,Creado en,أنشئت في,Créé à
Customers Choose What To Pay,Customers Choose What To Pay,Los clientes eligen qué pagar,يختار العملاء ما يدفعونه,Les clients choisissent quoi payer
Payment Page,Payment Page,Página de pago,صفحة الدفع,Page de paiement
Give customers more detail about what they're paying for.,Give customers more detail about what they're paying for.,Dé a los clientes más detalles sobre lo que están pagando.,امنح العملاء مزيدًا من التفاصيل حول ما يدفعون مقابله.,Donnez aux clients plus de détails sur ce qu'ils paient.
Select One,Select One,Seleccione uno,حدد واحدة,En sélectionner un
Set limits,Set limits,Pon límites,ضع الحدود,Fixer des limites
Unit Price,Unit Price,Precio unitario,سعر الوحدة,Prix ​​unitaire
Name on card,Name on card,Nombre en la tarjeta,الاسم على البطاقة,Nom sur la carte
Pay faster on,Pay faster on,Pagar más rápido,دفع أسرع على,Payer plus vite
Pay,Pay,Pagar,يدفع,Payer
Pay with Debit & Credit Card,Pay with Debit & Credit Card,Pagar con tarjeta de débito y crédito,ادفع مع بطاقة الخصم والائتمان,Payer avec une carte de débit et de crédit
Go To Home,Go To Home,Ir a casa,اذهب إلى المنزل,Aller à la maison
Payment Again,Payment Again,Pago nuevamente,الدفع مرة أخرى,Paiement à nouveau
visa,Visa,Visa,تأشيرة,Visa
request Money,Request Money,Pedir dinero,طلب المال,Demande de l'argent
request Money Log,Request Money Log,Solicitar registro de dinero,طلب سجل المال,Demander un journal monétaire
coin Gate Payment,Coingate Payment,Pago,الدفع الطلاء,Paiement
no Record Found,noRecordFound,ningún record fue encontrado,لا يوجد سجلات,Aucun Enregistrement Trouvé
balance,Balance,Balance,توازن,Équilibre
fund Amount,Fund Amount,Monto del fondo,مبلغ الصناديق,Montant du fonds
total Pay,Total Pay,Pago total,إجمالي الأجور,Salaire total
card Information,Card Information,Información de la tarjeta,معلومات البطاقة,Informations sur la carte
reveal Details,Reveal Details,Revelar detalles,الكشف عن التفاصيل,Révéler des détails
freeze Card,Freeze Card,Tarjeta congelada,بطاقة تجميد,Congeoir
currency,Currency,Divisa,عملة,Devise
brand,Brand,Marca,ماركة,Marque
availabe Blance,Available Balance,Saldo disponible,الرصيد المتوفر,Solde disponible
payments,Payments,Pagos,المدفوعات,Paiements
update Link,Update Link,Enlace de actualización,ارتباط تحديث,Mettre à jour le lien
payments Log,Payments Log,Registro de pagos,سجل المدفوعات,Journal de paiement
payment Link Edit,Payment Link Edit,Enlace de pago Editar,تحرير رابط الدفع,Lien de paiement Modifier
closeS,Close,Cerca,يغلق,Fermer
editS,Edit,Editar,يحرر,Modifier
unlimited,Unlimited,Ilimitado,غير محدود,Illimité
zero,0,0,0,0
select TypeS,Select Type,Seleccione tipo,اختر صنف,Sélectionner le genre
customer Choose,Customers choose what to pay,Los clientes eligen qué pagar,يختار العملاء ما يدفعونه,Les clients choisissent quoi payer
products Or SubscriptionsS,Products or Subscriptions,Productos o suscripciones,المنتجات أو الاشتراكات,Produits ou abonnements
imageS,Image,Imagen,صورة,Image
name Of Cause Or ServiceS,Name Of Cause Or Service,Nombre de la causa o servicio,اسم السبب أو الخدمة,Nom de cause ou de service
titleS,Title,Título,عنوان,Titre
descriptionS,Description,Descripción,وصف,Description
description Hint,Give customers more detail about what they’re paying for.,Dé a los clientes más detalles sobre lo que están pagando.,امنح العملاء مزيدًا من التفاصيل حول ما يدفعون مقابله.,Donnez aux clients plus de détails sur ce qu'ils paient.
set Limit,Set Limit,Límite establecido,حدد الحد,Limiter
enter Your Product Name,- Enter your product name,- Ingrese el nombre de su producto,- أدخل اسم منتجك,- Entrez le nom de votre produit
payment Link Created Successfully,Payment Link Created Successfully,Enlace de pago creado con éxito,رابط الدفع الذي تم إنشاؤه بنجاح,Lien de paiement créé avec succès
no Payment Created Yet,No payment created yet,No se creó el pago todavía,لم يتم إنشاء أي دفعة بعد,Aucun paiement créé encore
kyc Unverified Text,"Your Kyc is Unverified, Please verify your KYC","Su KYC no está verificado, verifique su KYC",KYC الخاص بك لم يتم التحقق منه ، يرجى التحقق من KYC الخاص بك,"Votre KYC n'est pas vérifié, veuillez vérifier votre KYC"
kyc Pending Text,Your KYC verification is pending,Tu verificación de KYC está pendiente,التحقق من KYC الخاص بك معلق,Votre vérification KYC est en attente
kyc Rejected Text,Your KYC verification is Rejected,Tu verificación de KYC es rechazada,تم رفض التحقق من KYC الخاص بك,Votre vérification KYC est rejetée
link Copied Successfully,Link Copied Successfully,Enlace copiado con éxito,رابط نسخ بنجاح,Lien copié avec succès
link Edited Successfully,Link Edited Successfully,Enlace editado con éxito,LINK edied بنجاح,Lien édité avec succès
from Gallery,From Gallery,De la galería,من المعرض,De la galerie
from Camera,From Camera,De la cámara,من الكاميرا,De la caméra
copy,Copy,Copiar,ينسخ,Copie
reject,Reject,Rechazar,يرفض,Rejeter
approve,Approve,Aprobar,يعتمد,Approuver
request Type,Request Type,tipo de solicitud,نوع الطلب,type de demande
request Money Success,Request Money Request Send Successful,Solicitud de dinero Solicitud Enviar exitoso,طلب طلب المال إرسال ناجح,Demande de demande d'argent Envoyer un succès
pay Link,Pay Link,Enlace de pago,رابط الدفع,Lien de rémunération
Minimum amount,Minimum Amount,Monto minimo,الحد الأدنى للمبلغ,Montant minimal
Maximum amount,Maximum Amount,Cantidad máxima,الحد الأقصى للمبلغ,Quantité maximale
explain Trx,Explain Transaction Purposes Here…,Explique los propósitos de transacción aquí ...,شرح أغراض المعاملة هنا ...,Expliquez les objectifs de la transaction ici…
Password Reset Link sended to your email address.,Password Reset Link sended to your email address.,Enlace de restablecimiento de contraseña enviado a su dirección de correo electrónico.,تم إرسال رابط إعادة تعيين كلمة المرور إلى عنوان بريدك الإلكتروني.,Lien de réinitialisation du mot de passe envoyé à votre adresse e-mail.
Something went wrong! Please try again.,Something went wrong! Please try again.,¡Algo salió mal! Inténtalo de nuevo.,هناك خطأ ما! حاول مرة اخرى.,Quelque chose s'est mal passé! Veuillez réessayer.
Verification code sended to your email address.,Verification code sended to your email address.,Código de verificación enviado a su dirección de correo electrónico.,تم إرسال رمز التحقق إلى عنوان بريدك الإلكتروني.,Code de vérification envoyé à votre adresse e-mail.
Password Reset Token Expired,Password Reset Token Expired,El token de restablecimiento de contraseña expiró,انتهت صلاحية رمز إعادة تعيين كلمة المرور,Le jeton de réinitialisation du mot de passe expiré
Verification code already used,Verification code already used,Código de verificación ya utilizado,رمز التحقق المستخدم بالفعل,Code de vérification déjà utilisé
Session expired. Please try again.,Session expired. Please try again.,Sesión expirada. Inténtalo de nuevo.,انتهت الجلسة. حاول مرة اخرى.,La session a expiré. Veuillez réessayer.
Verification Otp is Invalid,Verification Otp is Invalid,La verificación OTP no es válida,التحقق من OTP غير صالح,Vérification OTP n'est pas valide
You can resend verification code after,You can resend verification code after,Puede reenviar el código de verificación después de,يمكنك إعادة تقديم رمز التحقق بعد,Vous pouvez renvoyer le code de vérification après
seconds,seconds,segundos,ثوان,secondes
